	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1	gene_name	ENSEMBL.tag
ENSMUSG00000026220	2	1	5	2	9	2	solute carrier family 16 (monocarboxylic acid transporters), member 14	Slc16a14
ENSMUSG00000026222	120.341	118.046	206.876	125.294	150.562	126.352	nuclear antigen Sp100	Sp100
ENSMUSG00000026223	2405	2136	3209	2475	3565	3954	integral membrane protein 2C	Itm2c
ENSMUSG00000026224	1	1	8	2	1	1	RIKEN cDNA 4933407L21 gene	4933407L21Rik
ENSMUSG00000026226	0	0	0	0	0	0	spermatogenesis associated 3	Spata3
ENSMUSG00000026227	198	163	143	334	45	991	RIKEN cDNA 2810459M11 gene	2810459M11Rik
ENSMUSG00000026228	228	173	425	187	335	295	5-hydroxytryptamine (serotonin) receptor 2B	Htr2b
ENSMUSG00000026229	2973.5	3406.463	4051.367	3269.602	4129.999	4607.645	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	Psmd1
ENSMUSG00000026234	6850.055	8249.143	9577.274	7291.025	11151.698	10722.981	nucleolin	Ncl
ENSMUSG00000026235	126.002	40	116	89	180.001	153	Eph receptor A4	Epha4
ENSMUSG00000026237	4	3	4	4	10	3	neuromedin U receptor 1	Nmur1
ENSMUSG00000026238	10998.055	14602.949	18285.885	14055.023	17452.61	16111.15	prothymosin alpha	Ptma
ENSMUSG00000026239	416.999	570	680	476	627	679.999	phosphodiesterase 6D, cGMP-specific, rod, delta	Pde6d
ENSMUSG00000026240	297.001	387.224	437.999	343	516	499	COP9 signalosome subunit 7B	Cops7b
ENSMUSG00000026241	178	197	311	184	207	178	natriuretic peptide type C	Nppc
ENSMUSG00000026245	966	1346.001	1374.999	1138	1514.001	1624.001	phenylalanyl-tRNA synthetase, beta subunit	Farsb
ENSMUSG00000026246	0	0	0	0	1	0	alkaline phosphatase, placental-like 2	Alppl2
ENSMUSG00000026247	1	0	1	0	2	1	endothelin converting enzyme-like 1	Ecel1
ENSMUSG00000026248	477	614	677	593	616	703	mitochondrial ribosomal protein L44	Mrpl44
ENSMUSG00000026249	2552.002	2061.258	3520.889	2662.519	4800.001	4031.73	serine (or cysteine) peptidase inhibitor, clade E, member 2	Serpine2
ENSMUSG00000026251	1.066	0	0	0	1	0	cholinergic receptor, nicotinic, delta polypeptide	Chrnd
ENSMUSG00000026253	0	0	0	0	0	0	cholinergic receptor, nicotinic, gamma polypeptide	Chrng
ENSMUSG00000026254	1768.607	2461.398	3115.851	2342.182	2781.889	2966.388	eukaryotic translation initiation factor 4E member 2	Eif4e2
ENSMUSG00000026255	86	63	190	83	98	173.001	EF hand domain containing 1	Efhd1
ENSMUSG00000026258	0	1	1	0	0	1	secondary ossification center associated regulator of chondrocyte maturation	Snorc
ENSMUSG00000026259	45	47	43	52	78	103	neuronal guanine nucleotide exchange factor	Ngef
ENSMUSG00000026260	1216.001	1815.999	1862	1621.999	1900.001	2180.999	NADH:ubiquinone oxidoreductase subunit A10	Ndufa10
ENSMUSG00000026269	928.998	661	1141	1034	1017	2282.001	arginyl aminopeptidase (aminopeptidase B)-like 1	Rnpepl1
ENSMUSG00000026270	526	440	667.999	532	619.999	901	calpain 10	Capn10
ENSMUSG00000026271	122.22	61.045	116.723	91	122	275.35	G protein-coupled receptor 35	Gpr35
ENSMUSG00000026272	1	1	3	6	3	2	alanine-glyoxylate aminotransferase	Agxt
ENSMUSG00000026273	226	289	333	282	299.001	398	mitochondrial transcription termination factor 4	Mterf4
ENSMUSG00000026274	70.347	62.175	82.497	79.296	120.25	128.642	PAS domain containing serine/threonine kinase	Pask
ENSMUSG00000026275	696.177	871.317	1021.718	758.83	1070.708	1108.145	protein phosphatase 1, regulatory subunit 7	Ppp1r7
ENSMUSG00000026276	57.84	170.481	43.796	91.87	349.505	116.779	septin 2	Septin2
ENSMUSG00000026277	1850.071	2011.001	2843	2254.91	3214.999	3093.001	serine/threonine kinase 25 (yeast)	Stk25
ENSMUSG00000026278	1412	1676.001	2942	2431.999	3901	3527.001	BCL2-related ovarian killer	Bok
ENSMUSG00000026279	864	959.999	1170	903	1311	1304	THAP domain containing 4	Thap4
ENSMUSG00000026280	1377.187	1569.923	2042.959	1606.778	2205.039	2231.916	autophagy related 4B, cysteine peptidase	Atg4b
ENSMUSG00000026281	470.694	733.046	915.973	861.613	880.007	878.002	deoxythymidylate kinase	Dtymk
ENSMUSG00000026283	877	496.189	980	776	1295	1243	inhibitor of growth family, member 5	Ing5
ENSMUSG00000026285	0	1	2	2	4	1	programmed cell death 1	Pdcd1
ENSMUSG00000026288	73	57	93	75.002	137	106	inositol polyphosphate-5-phosphatase D	Inpp5d
ENSMUSG00000026289	566.364	555.367	793	641.981	918.575	989.525	autophagy related 16-like 1 (S. cerevisiae)	Atg16l1
ENSMUSG00000026295	3446	3164	2300	4904	186	12938	secreted phosphoprotein 2	Spp2
ENSMUSG00000026301	5	7	9	10	0	23	IQ motif containing with AAA domain	Iqca
ENSMUSG00000026303	452.371	291.684	818.561	835.337	1192.016	1334.419	melanophilin	Mlph
ENSMUSG00000026304	219	237	142	410	27	916	RAB17, member RAS oncogene family	Rab17
ENSMUSG00000026305	1605.713	1796.999	2692.892	1865.632	2253.969	2988.487	leucine rich repeat (in FLII) interacting protein 1	Lrrfip1
ENSMUSG00000026307	530	665.001	567	513.001	575	1245	selenocysteine lyase	Scly
ENSMUSG00000026308	70	70	40	74	11	400	kelch-like 30	Klhl30
ENSMUSG00000026309	844.155	1052.024	1360.019	991.626	1315.021	1276.855	integrin-linked kinase-associated serine/threonine phosphatase 2C	Ilkap
ENSMUSG00000026311	317	239	466	266	509	523	ankyrin repeat and SOCS box-containing 1	Asb1
ENSMUSG00000026312	0	0	0	0	0	0	cadherin 7, type 2	Cdh7
ENSMUSG00000026313	1805.902	950.138	2131.855	1158.004	2461.359	1637.041	histone deacetylase 4	Hdac4
ENSMUSG00000026315	15.997	10.001	22	14	53.044	32	serine (or cysteine) peptidase inhibitor, clade B, member 8	Serpinb8
ENSMUSG00000026317	1184.249	821.014	1442.001	1235.001	2155.312	1713.046	CLN8 transmembrane ER and ERGIC protein	Cln8
ENSMUSG00000026319	430	337	528.009	445.013	624.045	703.534	RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing	Relch
ENSMUSG00000026321	33.72	12.001	32.806	37.623	66.121	57.075	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	Tnfrsf11a
ENSMUSG00000026322	0	0	0	0	0	0	5 hydroxytryptamine (serotonin) receptor 4	Htr4
ENSMUSG00000026327	3	0	1	2	0	1	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 11	Serpinb11
ENSMUSG00000026331	0	0	0	0	0	0	solute carrier organic anion transporter family, member 6c1	Slco6c1
ENSMUSG00000026333	125.983	171.128	194.569	150.541	188.135	204.987	gypsy retrotransposon integrase 1	Gin1
ENSMUSG00000026335	2136.065	1301.366	3171.379	2514.391	4452.881	4599.486	peptidylglycine alpha-amidating monooxygenase	Pam
ENSMUSG00000026336	0	0	0	0	0	0	solute carrier organic anion transporter family, member 6d1	Slco6d1
ENSMUSG00000026339	620.015	465	608.022	586.023	792.999	1128.062	coiled-coil domain containing 93	Ccdc93
ENSMUSG00000026341	8089.254	9628.672	12822.705	9489.636	13133.034	12580.666	ARP3 actin-related protein 3	Actr3
ENSMUSG00000026342	2999	2438	3798	3504	4301	5404	solute carrier family 35, member F5	Slc35f5
ENSMUSG00000026343	74	50	41	49	7	167	G protein-coupled receptor 39	Gpr39
ENSMUSG00000026344	6.003	4.001	2.096	7.997	9.012	12.975	Ly6/Plaur domain containing 1	Lypd1
ENSMUSG00000026347	6	4	14	23	22	16	transmembrane protein 163	Tmem163
ENSMUSG00000026348	30.089	24.136	31.078	12.048	10.098	19.062	amino carboxymuconate semialdehyde decarboxylase	Acmsd
ENSMUSG00000026349	653	422	860.001	602.001	997	1008.999	cyclin T2	Ccnt2
ENSMUSG00000026353	3119.522	2914.491	4493.545	2946.918	4291.517	4760.505	UBX domain protein 4	Ubxn4
ENSMUSG00000026354	1	1	8	5	6	1	lactase	Lct
ENSMUSG00000026355	646	776	829	1081	1047	1359.27	minichromosome maintenance complex component 6	Mcm6
ENSMUSG00000026356	1257.451	1872.577	1943.597	1630.008	1969.305	2715.905	aspartyl-tRNA synthetase	Dars
ENSMUSG00000026357	12	13	19	9	16	17	regulator of G-protein signaling 18	Rgs18
ENSMUSG00000026358	16	22	36	52.001	79	32	regulator of G-protein signaling 1	Rgs1
ENSMUSG00000026360	207	262.001	366	454.001	591	443	regulator of G-protein signaling 2	Rgs2
ENSMUSG00000026361	2988.025	2507.001	3641.039	2868	3421.337	6141.001	cell division cycle 73, Paf1/RNA polymerase II complex component	Cdc73
ENSMUSG00000026365	79.9	68	140.99	175.87	245	259.907	complement component factor h	Cfh
ENSMUSG00000026368	63	28	50	113	4	376	coagulation factor XIII, beta subunit	F13b
ENSMUSG00000026374	1167.23	1255	1655.533	1409.399	1900.9	2052.343	translin	Tsn
ENSMUSG00000026377	619	856	990	804	1050	1041	nucleolar protein interacting with the FHA domain of MKI67	Nifk
ENSMUSG00000026380	61	36	47.051	93.243	65.999	183	transcription factor CP2-like 1	Tfcp2l1
ENSMUSG00000026383	635.081	541.071	608	826	497	1731.221	erythrocyte membrane protein band 4.1 like 5	Epb41l5
ENSMUSG00000026384	248.001	101.999	209	229	399	318	protein tyrosine phosphatase, non-receptor type 4	Ptpn4
ENSMUSG00000026385	2614.701	4830.931	4970.866	5389.919	5377.853	6285.745	diazepam binding inhibitor	Dbi
ENSMUSG00000026387	53	41	84	48	46	40	secretin receptor	Sctr
ENSMUSG00000026388	26	39	49.252	39	38	43.02	RIKEN cDNA 3110009E18 gene	3110009E18Rik
ENSMUSG00000026389	565	517	479	1011.999	1403	1200.999	STEAP family member 3	Steap3
ENSMUSG00000026390	6	4	2	13	15	13	macrophage receptor with collagenous structure	Marco
ENSMUSG00000026393	1457.943	1151.852	1960.939	1854.947	2396.476	2833.08	NIMA (never in mitosis gene a)-related expressed kinase 7	Nek7
ENSMUSG00000026394	0	0	0	0	0	0	ATPase, H+ transporting, lysosomal V1 subunit G3	Atp6v1g3
ENSMUSG00000026395	99	145	153	162.001	276	174.999	protein tyrosine phosphatase, receptor type, C	Ptprc
ENSMUSG00000026398	32	25	51	44	23	101	nuclear receptor subfamily 5, group A, member 2	Nr5a2
ENSMUSG00000026399	1336	1134.841	2505	2438.765	2978	3087.454	CD55 molecule, decay accelerating factor for complement	Cd55
ENSMUSG00000026401	0	1.158	0	1.294	0	2.547	CD55 molecule, decay accelerating factor for complement B	Cd55b
ENSMUSG00000026404	134	167	165	146	187.001	208	DEAD box helicase 59	Ddx59
ENSMUSG00000026405	7	4	3	9	0	34	complement component 4 binding protein	C4bp
ENSMUSG00000026407	4	0	1	10	2	13	calcium channel, voltage-dependent, L type, alpha 1S subunit	Cacna1s
ENSMUSG00000026409	225.482	158.333	198	200	276.448	409.279	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	Pfkfb2
ENSMUSG00000026411	867	810	1043	1380.001	810	2541.001	transmembrane protein 9	Tmem9
ENSMUSG00000026413	23	7	4	4	24	11	plakophilin 1	Pkp1
ENSMUSG00000026414	49.012	72.91	90.004	143.011	71.062	116.007	troponin T2, cardiac	Tnnt2
ENSMUSG00000026415	0	0	0	0	0	0	Fc receptor, IgA, IgM, high affinity	Fcamr
ENSMUSG00000026416	0	0	0	0	0	0	interleukin 20	Il20
ENSMUSG00000026417	10.01	49.096	54.026	122.051	72.081	164.025	polymeric immunoglobulin receptor	Pigr
ENSMUSG00000026418	34	35	34	96	29	81.692	troponin I, skeletal, slow 1	Tnni1
ENSMUSG00000026420	0	1	2	1	6	2	interleukin 24	Il24
ENSMUSG00000026421	9035	8674	14981	8106	17064	11461	cysteine and glycine-rich protein 1	Csrp1
ENSMUSG00000026424	1	0	0	0	2	0	G protein-coupled receptor 37-like 1	Gpr37l1
ENSMUSG00000026425	812	779	1259.001	749.001	1272.002	882.001	SLIT-ROBO Rho GTPase activating protein 2	Srgap2
ENSMUSG00000026426	824	578.001	1127.001	791.001	1194	1399	ADP-ribosylation factor-like 8A	Arl8a
ENSMUSG00000026427	714	908	1010	826.001	996	1066.001	eukaryotic translation initiation factor 2D	Eif2d
ENSMUSG00000026429	40.074	44	61	69.033	60.131	71.992	ubiquitin-conjugating enzyme E2T	Ube2t
ENSMUSG00000026430	279	210	291	264	426	388	Ras association (RalGDS/AF-6) domain family member 5	Rassf5
ENSMUSG00000026432	0	0	4	4	2	3	arginine vasopressin receptor 1B	Avpr1b
ENSMUSG00000026433	172.999	209	282	195	240	262	RAB29, member RAS oncogene family	Rab29
ENSMUSG00000026434	1230.816	844.897	1396.289	1304.517	1689.06	2018.06	nuclear casein kinase and cyclin-dependent kinase substrate 1	Nucks1
ENSMUSG00000026435	480	208	624	561	639.647	656.999	solute carrier family 45, member 3	Slc45a3
ENSMUSG00000026436	470	183	474.998	364.001	628.95	638	ELK4, member of ETS oncogene family	Elk4
ENSMUSG00000026437	104	60	176	101	199	224.001	cyclin-dependent kinase 18	Cdk18
ENSMUSG00000026439	475.047	370.795	565.703	500.815	715.721	749.526	retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit	Rbbp5
ENSMUSG00000026442	7	5	4	6	3.963	4	neurofascin	Nfasc
ENSMUSG00000026443	361	237	649	250	515	301	leucine rich repeat protein 2, neuronal	Lrrn2
ENSMUSG00000026447	222.618	141.149	189.943	165.031	253.919	224.209	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	Pik3c2b
ENSMUSG00000026450	0	1	10	7	9	8	chitinase 1 (chitotriosidase)	Chit1
ENSMUSG00000026452	0	0	3	4	4	3	synaptotagmin II	Syt2
ENSMUSG00000026455	482.037	452.866	748.256	523.007	798.917	720.203	kelch-like 12	Klhl12
ENSMUSG00000026456	627	435.001	734	593	839	704	cytochrome b5 reductase 1	Cyb5r1
ENSMUSG00000026457	4440	4537.999	6303	4634.001	5645	6614	adiponectin receptor 1	Adipor1
ENSMUSG00000026458	16	35	30	24	38.001	36	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	Ppfia4
ENSMUSG00000026459	0	0	0	0	4	1	myogenin	Myog
ENSMUSG00000026463	668.219	165.144	678.058	407.01	780.148	657.788	ATPase, Ca++ transporting, plasma membrane 4	Atp2b4
ENSMUSG00000026466	2551.83	1693	3451.754	2200.016	4093.894	3353.924	torsin A interacting protein 1	Tor1aip1
ENSMUSG00000026468	0	0	2	0	2	1	LIM homeobox protein 4	Lhx4
ENSMUSG00000026469	650.217	246.342	585.879	468.001	760.011	976.009	xenotropic and polytropic retrovirus receptor 1	Xpr1
ENSMUSG00000026470	1008.001	827.144	1056.839	1033.51	1496.511	1473.34	syntaxin 6	Stx6
ENSMUSG00000026471	101	69	150	123	157	137	major histocompatibility complex, class I-related	Mr1
ENSMUSG00000026473	5105.225	5965.19	6807.882	6370.52	5809.634	11963.488	glutamate-ammonia ligase (glutamine synthetase)	Glul
ENSMUSG00000026475	397	292	693	349	869	409	regulator of G-protein signaling 16	Rgs16
ENSMUSG00000026478	13010	3488.001	14830.999	10844	20281	14435	laminin, gamma 1	Lamc1
ENSMUSG00000026479	1040.002	393	1709.174	1080	1453.045	1757	laminin, gamma 2	Lamc2
ENSMUSG00000026480	179.258	225.453	289.174	238.038	318.148	260.346	neutrophil cytosolic factor 2	Ncf2
ENSMUSG00000026482	2722	2495.002	3707	2443.037	3733.325	4240.999	ral guanine nucleotide dissociation stimulator,-like 1	Rgl1
ENSMUSG00000026483	1086	671	1017	1032	1863	1611	niban apoptosis regulator 1	Niban1
ENSMUSG00000026484	1747	1733.999	2235.999	1964.999	2161	3224	ring finger protein 2	Rnf2
ENSMUSG00000026489	77.001	61	109	137.001	114.999	127.001	coenzyme Q8A	Coq8a
ENSMUSG00000026490	1007.013	577	1001	673	1612	1236.052	CDC42 binding protein kinase alpha	Cdc42bpa
ENSMUSG00000026491	1811.73	1204.87	2013.657	1515.586	2627.805	2600.312	AT hook containing transcription factor 1	Ahctf1
ENSMUSG00000026492	336	433.999	507	460	629.001	622	transcription factor B2, mitochondrial	Tfb2m
ENSMUSG00000026494	53	28	45	63	63	52	kinesin family member 26B	Kif26b
ENSMUSG00000026495	59	55	96	91	54	118	EF-hand calcium binding domain 2	Efcab2
ENSMUSG00000026496	1311.573	1749.215	2093.481	1473.834	1981.111	2134.562	poly (ADP-ribose) polymerase family, member 1	Parp1
ENSMUSG00000026497	8	2	2	3	5	7	Mix1 homeobox-like 1 (Xenopus laevis)	Mixl1
ENSMUSG00000026499	1794.014	1623	2562.821	1709.384	2900.021	2663.019	acyl-Coenzyme A binding domain containing 3	Acbd3
ENSMUSG00000026500	187	173	277	213	244	268	cytochrome c oxidase assembly protein 20	Cox20
ENSMUSG00000026502	1636.082	1244.472	2205.132	1352.821	2236.836	2055.393	desumoylating isopeptidase 2	Desi2
ENSMUSG00000026504	187.494	281.801	288.586	199.515	320.883	327.893	serologically defined colon cancer antigen 8	Sdccag8
ENSMUSG00000026509	2093.001	1782	2293	1995	3142	3947	calpain 2	Capn2
ENSMUSG00000026510	555	426	541	484	616	910	transformation related protein 53 binding protein 2	Trp53bp2
ENSMUSG00000026511	1347.586	2147.324	2546.948	2021.935	2124.316	2334.722	signal recognition particle 9	Srp9
ENSMUSG00000026514	1	1	1	0	2	2	cornichon family AMPA receptor auxiliary protein 3	Cnih3
ENSMUSG00000026516	907.759	870.458	1291.241	867.323	1416.816	1280.321	nuclear VCP-like	Nvl
ENSMUSG00000026519	373.001	231	419	318	450	683	transmembrane protein 63a	Tmem63a
ENSMUSG00000026520	400.816	538.001	675.007	485	618.164	650	pyrroline-5-carboxylate reductase family, member 2	Pycr2
ENSMUSG00000026523	1	0	0	0	0	6	WD repeat domain 64	Wdr64
ENSMUSG00000026525	166.752	130.142	139.984	173.164	110.267	609.1	opsin 3	Opn3
ENSMUSG00000026526	2080	2440.001	2815	2926.999	3071	3380	fumarate hydratase 1	Fh1
ENSMUSG00000026527	1	2	2.037	0	2	3	regulator of G protein signaling 7	Rgs7
ENSMUSG00000026531	0	0	0	0	0	0	mucosal pentraxin 1	Mptx1
ENSMUSG00000026532	283	228	276	141	99	184	spectrin alpha, erythrocytic 1	Spta1
ENSMUSG00000026535	12	27	28	16	25	17	interferon activated gene 202B	Ifi202b
ENSMUSG00000026536	63.664	94.176	181.47	89.334	169.321	86.81	interferon activated gene 211	Ifi211
ENSMUSG00000026542	0	3	2	4	0	4	amyloid P component, serum	Apcs
ENSMUSG00000026544	78	69	84	81	85	85	dual specificity phosphatase 23	Dusp23
ENSMUSG00000026546	21.451	33.562	41.009	19.02	28.027	30.197	cilia and flagella associated protein 45	Cfap45
ENSMUSG00000026547	10980.716	11645.746	17842.175	8999.15	16243.246	12943.138	transgelin 2	Tagln2
ENSMUSG00000026548	4	5	8	20	5	10	SLAM family member 9	Slamf9
ENSMUSG00000026553	6470	5734	8633.001	5985.001	9567	8962	coatomer protein complex subunit alpha	Copa
ENSMUSG00000026554	1654.092	1589.001	2076.178	1875.537	2514.219	2503.199	DDB1 and CUL4 associated factor 8	Dcaf8
ENSMUSG00000026556	56.002	28.003	42	43.426	67.078	64.33	VANGL planar cell polarity 2	Vangl2
ENSMUSG00000026558	612	581	1085.001	1034	1412.001	1343.001	uridine-cytidine kinase 2	Uck2
ENSMUSG00000026560	0	0	0	0	0	0	flavin containing monooxygenase 9	Fmo9
ENSMUSG00000026563	396.019	447	599.977	528	591.418	606	transcriptional adaptor 1	Tada1
ENSMUSG00000026564	10	8	3	58	8	44	dual specificity phosphatase 27 (putative)	Dusp27
ENSMUSG00000026565	159.97	63.102	182	146	269.037	249.06	POU domain, class 2, transcription factor 1	Pou2f1
ENSMUSG00000026566	4899	4059.999	8161	5035.999	7870	6502.999	myelin protein zero-like 1	Mpzl1
ENSMUSG00000026567	1	0	1	3	6	1	adenylate cyclase 10	Adcy10
ENSMUSG00000026568	734	1044.011	1276.999	1022.043	868	1282.024	mitochondrial pyruvate carrier 2	Mpc2
ENSMUSG00000026571	533	576.999	654	579	687.999	911	DDB1 and CUL4 associated factor 6	Dcaf6
ENSMUSG00000026572	0	0	0	0	0	0	T-box 19	Tbx19
ENSMUSG00000026573	0	1	0	0	0	1	chemokine (C motif) ligand 1	Xcl1
ENSMUSG00000026574	9	3	3	3	12	10	dermatopontin	Dpt
ENSMUSG00000026575	404.006	441.461	550.008	446.007	560.016	537.413	NME/NM23 family member 7	Nme7
ENSMUSG00000026576	2226	1296.549	2899	2363	2844	4593.601	ATPase, Na+/K+ transporting, beta 1 polypeptide	Atp1b1
ENSMUSG00000026577	1063	1024.001	1501	1002.001	1560	1315	basic leucine zipper nuclear factor 1	Blzf1
ENSMUSG00000026578	163	222	214	220	247	315	coiled-coil domain containing 181	Ccdc181
ENSMUSG00000026579	69	37	37	59	37	124	coagulation factor V	F5
ENSMUSG00000026580	24	3	5	11	52	27	selectin, platelet	Selp
ENSMUSG00000026581	38	43	86.999	32.999	58	63	selectin, lymphocyte	Sell
ENSMUSG00000026582	289	61	227	141	479	340	selectin, endothelial cell	Sele
ENSMUSG00000026584	605.09	662.476	760.175	605.131	927.915	833.289	SCY1-like 3 (S. cerevisiae)	Scyl3
ENSMUSG00000026585	749	697	1016	770	1149	978	kinesin-associated protein 3	Kifap3
ENSMUSG00000026586	252.422	166.4	352.446	246.401	615.015	480.414	paired related homeobox 1	Prrx1
ENSMUSG00000026587	28	11	26	26	32	12	astrotactin 1	Astn1
ENSMUSG00000026589	88	69	52	139	12	325.001	SEC16 homolog B (S. cerevisiae)	Sec16b
ENSMUSG00000026592	8	2	10	6	7	7	testis expressed 35	Tex35
ENSMUSG00000026594	1134.024	1012.021	1643.893	853	1550.204	1264	Ral GEF with PH domain and SH3 binding motif 2	Ralgps2
ENSMUSG00000026596	679.803	306.796	732.478	605.006	1122.357	1023.624	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	Abl2
ENSMUSG00000026600	3606	1920.308	4634	2928.594	4485.767	5116.736	sterol O-acyltransferase 1	Soat1
ENSMUSG00000026601	10	11	14	10	18.999	19	axonemal dynein light chain domain containing 1	Axdnd1
ENSMUSG00000026602	0	0	0	0	1	0	nephrosis 2, podocin	Nphs2
ENSMUSG00000026603	1017	1349	1646.999	1093	1636	1218	SET and MYND domain containing 2	Smyd2
ENSMUSG00000026604	833.001	516.001	868	620	1087	967	protein tyrosine phosphatase, non-receptor type 14	Ptpn14
ENSMUSG00000026605	155.594	101.129	149.986	196.759	224.839	337.224	centromere protein F	Cenpf
ENSMUSG00000026608	1465.72	1375.274	2000.748	1464.021	2010.865	1979.575	potassium channel tetramerisation domain containing 3	Kctd3
ENSMUSG00000026609	18	21	29	27	34	19	usherin	Ush2a
ENSMUSG00000026610	21	17	18	35	18	101	estrogen-related receptor gamma	Esrrg
ENSMUSG00000026611	2	14	6	11	7	8	spermatogenesis associated 17	Spata17
ENSMUSG00000026614	14.107	2	6	4	5	21	solute carrier family 30, member 10	Slc30a10
ENSMUSG00000026615	2157	1552	2670.875	1801.848	2760.793	2685	glutamyl-prolyl-tRNA synthetase	Eprs
ENSMUSG00000026616	0	1	1	1	0	2	complement receptor 2	Cr2
